court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Salem,23330,258642,149325,0,0,0,0,0,0,0,0,10,1,2,3,14,32,354,248,267,152,172,63,160
Prince Edward County,0,537948,159601,0,0,0,0,1,0,0,0,0,10,20,43,45,31,66,36,37,21,14,17,45
Henry County,0,999221,425433,0,0,0,0,0,0,0,0,55,31,10,32,63,84,104,100,62,76,203,4,9
Powhatan County,0,615700,310920,0,0,0,0,0,0,0,0,0,1,0,7,16,14,46,30,10,14,20,13,21
Pittsylvania County,0,1087339,625178,0,0,0,0,0,0,1,1,2,24,13,17,37,40,44,41,25,24,30,14,62
Patrick County,0,266953,164616,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,0,1
Halifax County,0,694313,317487,0,0,0,0,0,0,0,0,1,43,35,66,120,109,252,153,96,69,92,39,107
Greensville County,614780,129827,111681,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,1,1,5,2,0,8
Henrico County,3693220,1921862,3512891,0,0,0,0,0,0,4,1,7,133,342,1170,1896,1565,1881,1147,883,597,553,215,464
Hanover County,2544057,1033717,1166691,0,0,0,0,1,1,0,2,1,75,69,98,105,84,251,188,106,97,82,38,147
Prince George County,689429,535253,348991,0,0,0,0,0,0,0,0,0,1,7,29,62,51,78,30,42,21,33,16,45
Albemarle County,1166890,1615120,914351,0,0,0,0,0,0,0,2,5,6,2,21,51,101,278,142,154,88,127,70,167
Accomack County,0,877704,303599,0,0,0,0,0,1,1,1,0,6,4,26,254,86,128,93,40,34,53,13,37
Amelia County,0,307104,173913,0,0,0,0,0,0,0,0,0,0,0,4,9,9,12,7,8,5,3,0,6
Alleghany County / Covington,478344,195016,130119,0,0,0,0,0,0,13,3,98,58,11,17,25,17,15,14,11,7,14,2,9
Amherst County,0,795130,206253,0,0,0,0,0,0,0,0,2,3,1,14,37,51,155,81,73,53,133,18,39
Suffolk,357531,2025091,564092,0,0,0,0,1,0,5,3,11,27,33,51,87,97,140,87,66,30,40,9,23
Lynchburg,0,1168138,553246,0,0,0,0,0,0,1,0,0,0,2,4,5,8,199,160,167,144,126,86,379
